NIS,10000,20001,20002,21000,30000,40000,50000,60000,70000,80000,90000
10000,607740,36116,1535,36161,5508,20970,2014,2106,12431,391,1101
20001,36162,259821,8062,127060,3424,14070,3290,2235,12165,341,1332
20002,2020,8948,78950,46501,517,987,6899,2304,441,350,4421
21000,7625,28903,12590,301391,1592,4215,5089,2550,1463,468,2189
30000,10801,6840,861,16395,423039,29737,6189,1081,2548,243,594
40000,48526,30286,1636,59833,25482,453860,3642,1773,3711,344,1067
50000,4404,10013,21899,50271,6419,5957,338798,5202,1152,1404,13156
60000,3612,4900,4625,19883,1313,1850,4634,328968,3287,3929,10220
70000,22101,19186,902,11520,2332,3885,905,4103,274931,281,495
80000,621,556,590,2670,391,379,893,4305,210,67701,4204
90000,1673,2825,11386,17904,741,1038,19632,6612,553,6138,118083
